author,id,text,title
Charles Dickens,0,A TALE OF TWO CITIES,A Tale of Two Cities
Charles Dickens,1,A STORY OF THE FRENCH REVOLUTION,A Tale of Two Cities
Charles Dickens,2,By Charles Dickens,A Tale of Two Cities
Charles Dickens,3,CONTENTS,A Tale of Two Cities
Charles Dickens,4,Book the First--Recalled to Life,A Tale of Two Cities
Charles Dickens,5,CHAPTER I The Period CHAPTER II The Mail CHAPTER III The Night Shadows CHAPTER IV The Preparation CHAPTER V The Wine-shop CHAPTER VI The Shoemaker,A Tale of Two Cities
Charles Dickens,6,Book the Second--the Golden Thread,A Tale of Two Cities
Charles Dickens,7,CHAPTER I Five Years Later CHAPTER II A Sight CHAPTER III A Disappointment CHAPTER IV Congratulatory CHAPTER V The Jackal CHAPTER VI Hundreds of People CHAPTER VII Monseigneur in Town CHAPTER VIII Monseigneur in the Country CHAPTER IX The Gorgon’s Head CHAPTER X Two Promises CHAPTER XI A Companion Picture CHAPTER XII The Fellow of Delicacy CHAPTER XIII The Fellow of no Delicacy CHAPTER XIV The Honest Tradesman CHAPTER XV Knitting CHAPTER XVI Still Knitting CHAPTER XVII One Night CHAPTER XVIII Nine Days CHAPTER XIX An Opinion CHAPTER XX A Plea CHAPTER XXI Echoing Footsteps CHAPTER XXII The Sea Still Rises CHAPTER XXIII Fire Rises CHAPTER XXIV Drawn to the Loadstone Rock,A Tale of Two Cities
Charles Dickens,8,Book the Third--the Track of a Storm,A Tale of Two Cities
Charles Dickens,9,CHAPTER I In Secret CHAPTER II The Grindstone CHAPTER III The Shadow CHAPTER IV Calm in Storm CHAPTER V The Wood-sawyer CHAPTER VI Triumph CHAPTER VII A Knock at the Door CHAPTER VIII A Hand at Cards CHAPTER IX The Game Made CHAPTER X The Substance of the Shadow CHAPTER XI Dusk CHAPTER XII Darkness CHAPTER XIII Fifty-two CHAPTER XIV The Knitting Done CHAPTER XV The Footsteps Die Out For Ever,A Tale of Two Cities
Charles Dickens,10,Book the First--Recalled to Life,A Tale of Two Cities
Charles Dickens,11,CHAPTER I. The Period,A Tale of Two Cities
Charles Dickens,12,"It was the best of times, it was the worst of times, it was the age of wisdom, it was the age of foolishness, it was the epoch of belief, it was the epoch of incredulity, it was the season of Light, it was the season of Darkness, it was the spring of hope, it was the winter of despair, we had everything before us, we had nothing before us, we were all going direct to Heaven, we were all going direct the other way--in short, the period was so far like the present period, that some of its noisiest authorities insisted on its being received, for good or for evil, in the superlative degree of comparison only.",A Tale of Two Cities
